Barrido en f -> f_inicial:1000, f_final:500000, step: 1000
Parametros -> N:32, Modo:1,	Fuente:1
Formato -> f,x,y,r,phi
363999.968750,13128091.815909,-34711135.181818,0.283141,-69.284934
365000.000000,13109798.214367,-34777900.152794,0.283569,-69.347723
365999.937500,13048209.621281,-34863272.455378,0.284013,-69.482779
366999.968750,13001563.979358,-34675236.885321,0.282545,-69.448393
367999.968750,12966804.642117,-34767971.632911,0.283115,-69.548921
369000.000000,12885300.696655,-34615465.040369,0.281807,-69.584715
369999.937500,12844889.686343,-34728999.652778,0.282512,-69.704606
370999.937500,12720970.548088,-34296312.144844,0.279088,-69.651549
371999.968750,12758557.556977,-34406432.210465,0.279975,-69.656319
372999.968750,12667254.482517,-34219567.026807,0.278397,-69.688724
374000.000000,12599995.552570,-34084256.630841,0.277250,-69.714114
374999.937500,12564327.862837,-34192324.730363,0.277930,-69.825674
375999.968750,12541038.155112,-34081060.779083,0.277072,-69.799616
376999.968750,12464372.889151,-34199302.412736,0.277718,-69.977148
378000.000000,12423709.225502,-33764598.681228,0.274497,-69.800929
378999.937500,12355718.011834,-33667533.953846,0.273623,-69.849324
379999.937500,12294204.007126,-33786864.847981,0.274317,-70.006870
380999.968750,12250350.410714,-33669036.290476,0.273357,-70.008341
382000.000000,12230578.847255,-33533228.689737,0.272332,-69.963627
382999.937500,12165095.100599,-33684090.574850,0.273244,-70.144754
383999.937500,12109531.575030,-33548924.939976,0.272130,-70.154950
384999.968750,12061997.358173,-33149204.518029,0.269139,-70.007142
385999.968750,12006191.165259,-33308833.537998,0.270139,-70.180338
387000.000000,11929349.458283,-33222817.558646,0.269323,-70.250332
387999.937500,11901170.443636,-33092169.146667,0.268312,-70.221606
388999.968750,11851299.133657,-32995023.458080,0.267486,-70.244573
389999.968750,11828334.781707,-33191413.397561,0.268838,-70.387670
391000.000000,11754979.622249,-33073206.206601,0.267801,-70.435692
391999.937500,11724723.469363,-32992666.482843,0.267144,-70.438206
392999.937500,11677408.312883,-32611390.906748,0.264283,-70.300765
393999.968750,11651767.137931,-32826601.112069,0.265764,-70.459814
394999.968750,11599786.070370,-32759692.716049,0.265150,-70.503679
396000.000000,11533538.834158,-32639167.408416,0.264115,-70.540456
396999.937500,11511083.700993,-32561779.058313,0.263501,-70.532805
397999.968750,11450237.768657,-32489269.013682,0.262825,-70.588025
398999.968750,11400089.246883,-32394716.346633,0.262017,-70.614501
400000.000000,11338970.350000,-32311067.525000,0.261261,-70.664507
400999.937500,11317823.733083,-32268780.461153,0.260903,-70.674478
401999.937500,11246813.854271,-32212990.760050,0.260322,-70.755996
402999.968750,11191780.108312,-32159525.963476,0.259799,-70.813771
403999.968750,11177021.784091,-32118478.945707,0.259466,-70.814524
404999.937500,11145682.701266,-32100545.156962,0.259258,-70.854494
405999.937500,11093386.161168,-32005012.427665,0.258439,-70.885057
406999.968750,11056387.633588,-31973455.502545,0.258119,-70.926760
407999.968750,11017645.647959,-31922353.926020,0.257654,-70.960548
409000.000000,10970926.620690,-31551735.835249,0.254865,-70.828897
409999.937500,10920298.975672,-31509488.391805,0.254434,-70.887219
410999.968750,10879846.715019,-31499015.973042,0.254258,-70.947039
411999.968750,10832125.175032,-31469475.671815,0.253926,-71.008091
413000.000000,10783697.815484,-31436874.587097,0.253571,-71.068742
413999.937500,10756379.094437,-31422720.815006,0.253401,-71.105399
414999.937500,10708486.898833,-31388277.027237,0.253034,-71.164409
415999.968750,10673110.053316,-31358817.873862,0.252734,-71.205870
416999.968750,10629303.914062,-31020943.358073,0.250187,-71.088110
418000.000000,10591428.665796,-31023653.398172,0.250113,-71.152271
418999.937500,10556024.808901,-31026995.447644,0.250050,-71.212735
419999.968750,10510098.015748,-31016515.707349,0.249861,-71.282901
420999.968750,10490675.328947,-31009260.810526,0.249761,-71.311023
422000.000000,10458492.266491,-31023363.531662,0.249785,-71.372287
422999.937500,10415505.109788,-31025631.589947,0.249697,-71.444872
423999.937500,10379239.977454,-31016629.172414,0.249544,-71.500080
